address;postal_code;city;url
Rembrandt van Rijnstraat 28b;5831BB;Boxmeer;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-boxmeer-rembrandt-van-rijnstraat-1e070e3e7bdf4a2aab0e5a9d91db685f.html
Wim Kan Dreef 5;1433HM;Kudelstaart;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-kudelstaart-wim-kan-dreef-24-7-17c1b3de4ad54fcbae1a4e86417cd67e.html
Pieter Calandlaan 1287;1069RE;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-osdorp-pieter-calandlaan-df98548fc67a467693040c82026683c3.html
Sloterweg 301;1171VB;Badhoevedorp;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-badhoevedorp-sloterweg-24-7-029183a22335485e87432da0a6afd423.html
Zuidermolenweg 32;1069CG;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/bf-amsterdam-zuidermolenweg-f16a3f94e58544c3a8ba3e2ac290344d.html
Willem Eggertstraat 145;1441CH;Purmerend;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-purmerend-willem-eggertstraat-24-7-db853d7ade7d41f48910366839e515ba.html
Eerste Zeine 120a;5144AM;Waalwijk;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-waalwijk-eerste-zeine-24-7-5e26400edf0a4458b8a492c962de8788.html
Martin Luther Kingweg 205-207;1504DG;Zaandam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-zaandam-martin-luther-kingweg-623374b6c19e4e889245993b456d1729.html
Pottersplein 3-7;2801WR;Gouda;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-gouda-pottersplein-34964b7b569944a7ab9a11b542f8ba90.html
Bremhorst 4;5491LR;Sint Oedenrode;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-sint-oedenrode-bremhorst-24-7-152e40be8dc243789c3d1f165b1b5448.html
Sportlaan 2;2406LD;Alphen Aan Den Rijn;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-alphen-aan-den-rijn-sportlaan-24-7-a28fcd6df35b40eb9800f95eb2bdca8e.html
Arnolduspark 16;2132CR;Hoofddorp;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-hoofddorp-arnolduspark-37f9e564a143453180b49c16f26dbcbd.html
J.C. Beetslaan 161;2131AL;Hoofddorp;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-hoofddorp-j.c.-beetslaan-24-7-cffd8b25c79e454daa8a8dd9bf948120.html
Piet Heinweg 14;7441GZ;Nijverdal;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-nijverdal-piet-heinweg-24-7-8c037aef148d48cfa44075702e8a37e5.html
