address;postal_code;city;url;x;y
Lange Tiendweg 4;3353CW;Papendrecht;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-papendrecht-burg.-keijzerweg-24-7-9ed15995a3c9417b86501e41fbe7350d.html;4.6927583;51.8342133
Iersestraat 15;2912TH;Nieuwerkerk Aan Den Ijssel;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-nieuwerkerk-aan-den-ijssel-iersestraat-12e641621cbc42cea14a27ccbc6f77ae.html;4.6017169;51.9627313
Wagnerplein 3;5011LP;Tilburg;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-tilburg-wagnerplein-714a258a842a4f0cb4690a2cafd84e50.html;5.0838555;51.583491
Zwaagdijk 467A;1689PC;ZWAAG;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-hoorn-zwaagdijk-24-7-ea3cafdf57eb44e08105be6121ba3549.html;5.0444413;52.6696058
Ringbaan-Noord 97;5046AA;Tilburg;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-tilburg-ringbaan-noord-24-7-4ad3f7c7618f4b65b6f93aa61be5ed5a.html;5.0813713;51.5769485
Vondelweg 540;2026BH;Haarlem;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-haarlem-vondelweg-81a0214b435f458889082ce25c86e5ef.html;4.65195;52.4210507
Reigerlaan 207-209;2903AE;Capelle Aan Den Ijssel;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-capelle-aan-den-ijssel-koperwiek-24-7-d0cd3b6a4d3745d28b33a002f82a865e.html;4.5888268;51.9286419
Artemisstraat 6;5042XA;Tilburg;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-tilburg-artemisstraat-24-7-865e9bced4db4eefb1bebdb574076e6d.html;5.0519052;51.5735689
Braakse Bosdijk 3;5703HZ;Helmond;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-helmond-braakse-bosdijk-24-7-53f8a3305cbd45bea1770cedfee57073.html;5.6764298;51.4860285
Bijdorplaan 15F;2015CE;Haarlem;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-haarlem-bijdorplaan-0c24724d8dee486f8ad870bd5ac77f6b.html;4.6103956;52.3887784
Heuvelring 153;5038CJ;Tilburg;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-tilburg-heuvel-24-7-645bde5a485648fea44e4056d13b317a.html;5.0909462;51.5563518
Korte Parallelweg 159;3311JN;Dordrecht;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-dordrecht-korte-parallelweg-24-7-f0ff1359593b4c549ca4d4def345ea05.html;4.6554748;51.8099549
Gieterijstraat 30;2984AB;Ridderkerk;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-ridderkerk-gieterijstraat-24-7-4b73528258a14ced864f4be31a3306b6.html;4.6057629;51.8707059
Brussellaan 2H;5628TC;Eindhoven;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-eindhoven-brussellaan-24-7-fa7f2e10fda040af8a2d524b963322f2.html;5.4850609;51.4776869
Vijfkamplaan 8;5624EB;Eindhoven;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-eindhoven-sportpark-8c8a3f1c15c344f79d3cab36594c332e.html;5.4550627;51.4775843
Vijfkamplaan 6;5624EB;Eindhoven;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-eindhoven-vijfkamplaan-24-7-ebd008f30fd44f65a32eb85594214f7c.html;5.4558145;51.4780325
Zuidsingel 8;5802EG;Venray;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-venray-zuidsingel-24-7-5ac14709cbf742d48e8216274552f11e.html;5.9802946;51.5194303
Ter Steeghe Ring 47;3331LX;Zwijndrecht;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-zwijndrecht-ter-steeghe-ring-24-7-d1932d4bbc7a4b939a778017b2ceb772.html;4.6262424;51.8269682
Duivendijk 1;5672AD;Nuenen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-nuenen-duivendijk-24-7-b8d4e3098bfb4a58958b2e2e1eec7e1f.html;5.5382429;51.4682165
Rakthof 6;5709EK;Helmond;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-helmond-rakthof-24-7-c465235a721f4a9f844c8fb04ac94a2c.html;5.7086924;51.4719647
Metaalhof 57;3067GM;Rotterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-rotterdam-metaalhof-ladies-76b3d7df5c494295bbe64a4513923006.html;4.5440142;51.9486346
Metaalhof 57;3067GM;Rotterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-rotterdam-metaalhof-24-7-cdfc109857654e59ba535c9639be2efa.html;4.5440142;51.9486346
Spaubeekstraat 89C;5035JV;Tilburg;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-tilburg-spaubeekstraat-24-7-b4070384ebd54596bc27ed0bc8bdcb3b.html;4.9744735;51.5818907
Beneluxweg 5;4904SJ;Oosterhout;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-oosterhout-beneluxweg-24-7-edbe663f186d4871b5476cec5abda5e6.html;4.8675278;51.6260632
Industrieweg 11a;7944HT;Meppel;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-meppel-industrieweg-24-7-dbaaeac036144150bbec1d521d9d8a4b.html;6.2718386;52.6875363
Koraalrood 70-90;2718SC;Zoetermeer;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-zoetermeer-koraalrood-24-7-59e9d2906b694eec8e5129a9a8a01752.html;4.500218;52.0379052
C. van der Doesstraat 22;1972AT;IJmuiden;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-ijmuiden-c.-van-der-doesstraat-24-7-43b31772760e44359670bb8c56d2343d.html;4.6146793;52.4620898
Burgemeester van Leeuwenpassage 18;2711JV;Zoetermeer;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-zoetermeer-burgemeester-van-leeuwenpassage-24-7-ef42f7c279d041eda04b2bb1fef235f3.html;4.4846629;52.0611709
Groenplein 2;7604BG;Almelo;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-almelo-groenplein-24-7-7c63d60aed124bf3b0848d98bd2e1f1f.html;6.6283098;52.3597349
Dwarsdijk 78;3078JD;Rotterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-rotterdam-ijsselmonde-dwarsdijk-24-7-6069c34299a444dea278429b7b99a025.html;4.5418374;51.8916839
Kerkweg 221;1964KJ;Heemskerk;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-heemskerk-kerkweg-24-7-7c7c4c3f7a2b4341a4ac1d85fa07694b.html;4.6591878;52.5147376
Blankenstein 275;7943PG;Meppel;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-meppel-blankenstein-24-7-192a94a82bcf43a1928fff38b6484e62.html;6.2054902;52.6984825
Van Riemsdijkplein 34;7606ZA;Almelo;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-almelo-stadionlaan-24-7-b4edbefa481c4f328bdccce48d1451cb.html;6.6483422;52.3381424
